implementation_id,display_name,run_status,slice_family,slice_value,n_expected,metric_key,direction,analysis_unit,seed_count,mean,sample_standard_deviation,seed_0,seed_1,seed_2,run_id,artifact_sha256
wma-dummy,Dummy / No Memory,PENDING,overall,overall,7906,correct_ratio,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,overall,overall,7906,hallucination_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,overall,overall,7906,omission_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,overall,overall,7906,answer_f1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,overall,overall,7906,answer_bleu1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,overall,overall,7906,retrieval_hit_rate,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,overall,overall,7906,retrieval_recall_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,overall,overall,7906,retrieval_ndcg_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,CMR,548,correct_ratio,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,CMR,548,hallucination_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,CMR,548,omission_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,CMR,548,answer_f1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,CMR,548,answer_bleu1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,CMR,548,retrieval_hit_rate,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,CMR,548,retrieval_recall_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,CMR,548,retrieval_ndcg_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,DU,606,correct_ratio,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,DU,606,hallucination_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,DU,606,omission_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,DU,606,answer_f1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,DU,606,answer_bleu1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,DU,606,retrieval_hit_rate,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,DU,606,retrieval_recall_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,DU,606,retrieval_ndcg_at_10,higher,model_seed,,,,,,,,
